"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"10",39711,39665.777241519,39535.2552607008,39430.4679075025,39299.3567837723,38681.8689369739,38698.5472695028,38524.9765974094,38241.5337281298,37932.0841587739,37423.2903701064,33620.3286245164,36070.5230090004,36723.4699723127,36934.2396682292,37293.9938051352,37501.3344201151,34725.0793564643,36365.1136906124,36676.4085278846,36885.058458117,37062.9931737026,32704.2357228627,34436.0183018983,35811.1005741231,35765.1207931466,35850.5073789426,35736.7268150218,31050.207998258,33266.0500867456,34028.3356165976,33725.1918700513,33724.6169058129,33520.7252158624,29457.3030971321,31614.9910034325
"11",39552,39687.067331919,39654.7300845626,39524.779999467,39424.2541389259,39295.6718402841,38636.1303733687,38680.0877141683,38515.1353150876,38232.4691844241,37926.7360762962,37420.150630891,33587.7990065931,36056.0231998086,36714.1341684998,36926.4075411021,37289.2893542867,37498.5191949402,34698.8585879426,36352.25455003,36666.7806772348,36878.0608830218,37058.810133104,32667.0085240436,34412.1340994524,35800.1088581572,35755.8043725963,35844.4225798767,35733.1180488746,31012.7821889511,33246.960796362,34018.952473193,33716.5816936661,33719.4958564603,33517.6964842563,29424.8972358241
"12",39339,39505.285884288,39664.0846306012,39643.4257899668,39514.0168485262,39417.5908091883,39291.5478381158,38594.5831264801,38662.0163385081,38504.9931630202,38223.0698083401,37920.9483425908,37416.6044728963,33557.7563997717,36041.6270393136,36704.5091176579,36918.2114295371,37284.1513749744,37495.3102966586,34674.1420357887,36339.3519716181,36656.8806831187,36870.6707408892,37054.1995353589,32633.086122382,34389.4618713738,35788.9508592289,35746.2185274904,35837.9373201881,35729.1038618592,30978.839877331,33228.5550461364,34009.343037631,33707.7078602467,33713.9875407757,33514.2965161603
"13",39125,39333.742578684,39461.7654391676,39641.2387921434,39631.4430491573,39502.5603125372,39410.1851898975,39286.7623633385,38555.5437793776,38643.6991643933,38494.1647888429,38212.9718466427,37914.4560866298,37412.451304633,33529.0496519638,36026.8257162125,36694.2286985172,36909.3242561725,37278.3344135294,37491.517271069,34650.030365574,36325.9439499392,36646.3347551444,36862.5830117795,37048.9312063232,32601.1097118516,34367.1871291304,35777.2184179914,35736.0006854016,35830.7738899248,35724.4744061427,30946.9976262074,33210.1839749081,33999.1484309714,33698.2331628905,33707.8467065151
"14",38846,39115.908328125,39327.5761491924,39419.8068094438,39617.8359922039,39618.4102094791,39490.0516293014,39401.7681201853,39281.1011408819,38517.6028495216,38624.5910917549,38482.3084706055,38201.851069363,37907.0134789,37407.4959132204,33500.7091892164,36011.1787614284,36682.9681203911,36899.452266851,37271.6084700428,37486.9526788412,34625.7610338555,36311.6282586879,36634.812011461,36853.5214147609,37042.7871597676,32569.9402798728,34344.6176818349,35764.5535331119,35724.8297545314,35822.6786073491,35719.0289602335,30916.0977608586,33191.293092378,33988.0518909039,33687.8585552431
"15",38506,38832.314282278,39105.5857572649,39320.3380661125,39377.9773486837,39593.2929408959,39604.0425533982,39476.2174349246,39392.1430168672,39274.4087018372,38479.5246169678,38604.2457815203,38469.1648381473,38189.4633551167,37898.4417175701,37401.5961151874,33471.8905056428,35994.3330921156,36670.481054628,36888.3765641581,37263.8067396862,37481.4794712892,34600.6797599734,36296.0875717141,36622.0606057138,36843.281884957,37035.6094900281,32538.5799871749,34321.1638111093,35750.6787103333,35712.4614969469,35813.4654084607,35712.6220022899,30885.1250557228,33171.4186771349,33975.8109920513
"16",38148,38488.91662057,38817.1592338154,39093.9315105976,39311.9676311857,39334.9988065982,39567.1310786858,39588.1632333284,39460.8921356969,39381.2200089222,39266.6295018824,38440.2094709943,38582.3187629376,38454.5797543981,38175.6691300055,37888.6639196069,37394.7030758266,33441.850688902,35976.0315574889,36656.621409643,36875.9792661159,37254.8613765593,37475.0520722266,34574.2270558873,36279.1022005015,36607.9287018569,36831.761174928,37027.3372903636,32506.1423418628,34296.3279873406,35735.4134565294,35698.7493045181,35803.0457313944,35705.2000623349,30853.1754439469,33150.1844246972
"17",37829,38118.44254812,38470.2208217661,38800.4840421002,39080.96260704,39302.5216729793,39289.7372035214,39538.9790649233,39570.7109499196,39444.0258795629,39369.0282133069,39257.8244706828,38398.6874330496,38558.5715000683,38438.5121619756,38160.4418481569,37877.7175057139,37386.8777480768,33409.9466951589,35956.1175648607,36641.3509942961,36862.2526253458,37244.8168325996,37467.7336067824,34545.9387690525,36260.555416479,36592.3718696916,36818.966557731,37018.0207679733,32471.847419014,34269.7063201486,35718.6804206492,35683.651339571,35791.4390284231,35696.8161243082,30819.4504549326
"18",37574,37781.76330599,38086.5441586716,38449.9018128836,38782.3279764005,39066.7881763882,39292.1490300644,39241.1895862508,39508.5579325867,39551.7160985373,39425.6604255612,39355.689632227,39248.1460036691,38354.1065953385,38532.8538197249,38421.0105308106,38143.8441166169,37865.7293596342,37378.2675501314,33375.6260267268,35934.5167834092,36624.7169201853,36847.2753815174,37233.8053280134,37459.6730983161,34515.4355342219,36240.4137295013,36575.4308090642,36804.9920662499,37007.7970939796,32435.0125242884,34240.977031519,35700.484646188,35667.2088126048,35778.7491379241,35687.6066313227
"19",37342,37562.63367713,37730.4739200121,38052.0371021925,38428.0178590173,38762.796653079,39051.5781084136,39281.0534379763,39188.4818406695,39475.6750783451,39531.2773141745,39405.9047790812,39341.3861216757,39237.7999568937,38305.7329386444,38505.0929022562,38402.1881930145,38126.0018758052,37852.8826157686,37369.0697303223,33338.4273228655,35911.2233109398,36606.8281265763,36831.1858713329,37222.0130839956,37451.0682742684,34482.4210369174,36218.7101792482,36557.2083808037,36789.9898362138,36996.8559238077,32395.0522969434,34209.8976951017,35680.8943622433,35649.5234411183,35765.1351092047
"20",37049,37325.531543186,37550.730867333,37674.3997197426,38014.7413112757,38404.6787945107,38742.0399507272,39035.5334941867,39269.4572781908,39130.8741845365,39440.220908714,39509.5400925926,39384.9127807345,39326.3277733823,39227.0086594361,38252.9561042219,38475.2847236572,38382.2009293213,38107.0806273423,37839.3848077682,37359.4951393832,33297.984543357,35886.2878502767,36587.8338318458,36814.1572303636,37209.647856805,37442.1288166245,34446.6831454129,36195.5295527967,36537.8487434043,36774.1434678416,36985.4059518521,32351.4836079983,34176.304943961,35660.0234653422,35630.7369622039
"21",36616,37028.416724119,37308.3527658975,37538.4829829968,37612.9248947439,37974.5392017494,38380.0099331338,38720.2140413903,39018.8456474758,39257.5597714498,39067.7461061039,39402.1401527798,39486.658142448,39362.8441537862,39310.7114852552,39215.9693162052,38195.2731328589,38443.4625082174,38361.2086673137,38087.2469207669,37825.4277506819,37349.7291058373,33254.0097931557,35859.7861137896,36567.8869863609,36796.3594628648,37196.8993105142,37433.0372686738,34408.0724438688,36170.9752656542,36517.5011442797,36757.6296709759,36973.635531335,32303.9113013279,34140.0916628898,35637.9974812884
