"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"10",40703,40708.77654465,40605.4226943053,40493.326344766,40390.9298339733,39644.1168286506,39782.5712147296,39673.8185396441,39413.9570768295,39143.4651980714,38690.1440459285,34685.2402139992,37572.6910307475,38353.9784580406,38604.1712469646,39044.5435461431,39302.9504328935,35953.0197271953,37911.8433618025,38299.0204160772,38568.8432115125,38813.0598253163,33646.7628294766,35690.9365120153,37365.3623553626,37348.7935388188,37501.336646146,37433.2407835127,31910.626403332,34548.6867390888,35525.2288751287,35221.8779560119,35289.7446704327,35119.7685725731,30324.9585412233,32910.3862882945
"11",40449,40666.184217906,40692.0409223598,40589.5583992912,40484.0206544254,40385.4673646225,39572.7316893272,39754.2339699056,39658.8861871698,39400.2140212061,39135.4361296334,38685.4732169787,34634.3550242318,37550.2201192862,38339.6140109666,38592.1576674767,39037.3949977988,39298.7148325312,35912.0767519071,37891.9529131827,38284.1986568772,38558.1307538793,38806.7168398274,33588.4859633207,35653.6716052031,37348.3978830074,37334.4530587029,37492.0400647914,37427.7801346469,31852.0293029951,34518.9640202056,35510.7720963893,35208.6290352875,35281.9363203679,35115.1953816689,30274.2353476945
"12",40082,40373.625594093,40629.4644022031,40674.1644204781,40572.537573872,40473.5664252878,40379.0421983067,39505.6956401364,39725.3764509753,39642.8132734347,39385.3228679177,39126.3268089781,38679.9249464099,34585.7026910863,37526.9861458887,38324.145778675,38579.0114419281,39029.2044448422,39293.6337837944,35872.0530655758,37871.1516709276,38268.2832646641,38546.2921738777,38799.3773254715,33533.5723155617,35616.9662215928,37330.4324072641,37319.043935223,37481.6644426398,37421.3991098395,31797.0969747388,34489.1891009675,35495.3161748775,35194.3674280104,35273.1353824805,35109.7985624059
"13",39680,40073.478085816,40300.8472891246,40591.50218088,40654.3920176926,40553.6294730414,40461.41447981,40371.2279249233,39440.3815056257,39694.925082833,39624.901104328,39368.6189617096,39115.6349532827,38673.1114389507,34537.4539065471,37502.0990367435,38306.9001813436,38564.1209079868,39019.4972962587,39287.3333639662,35831.486078205,37848.6192067199,38250.5888141165,38532.7519021869,38790.59407763,33479.8891238467,35579.4838523824,37310.7295543613,37301.9007606486,37469.6816294808,37413.6885053957,31743.6663094751,34458.2741989791,35478.2061546498,35178.4730181813,35262.8720993708
"14",39197,39664.48881024,40062.9325897638,40228.1045821745,40550.9690898708,40631.8572881972,40531.9890019602,40446.8842598719,40361.4672924055,39374.5274667816,39661.7614019436,39604.3372467762,39349.3208977493,39102.7303141553,38664.5209420336,34487.9675719288,37474.6002476038,38287.093521991,38546.7556385984,39007.6709548621,39279.3152121,35788.9922647629,37823.4510861032,38230.3215101298,38516.8125596333,38779.7927591279,33425.5862502828,35539.9370070241,37288.4574740148,37282.2521336305,37455.4428881738,37404.1171859475,31689.8821268243,34425.1282681529,35458.6894160531,35160.2247481587
"15",38693,39172.416386343,39645.7829183236,40049.6907489066,40153.161956568,40506.5719424647,40605.6355190962,40506.7095246756,40429.2088501097,40349.1046153353,39306.1303688643,39624.7631261286,39580.2467601201,39326.5808858532,39086.89574172,38653.5459404352,34435.7482711011,37443.5076467276,38263.8813206627,38526.1145833423,38993.0332873286,39268.9825918368,35743.2659935389,37794.7066627455,38206.6289182894,38497.7012105438,38766.307629113,33369.0162198779,35497.0961362976,37262.737424876,37259.2688927867,37438.2218119199,37392.0639336091,31634.105811059,34388.6823504303,35435.9617081089
"16",38194,38660.664066435,39143.4402365627,39623.0932799474,40033.0458971829,40074.0683786054,40457.1073016306,40574.8173035401,40476.8964649453,40407.6044916304,40333.4459751653,39233.4261732762,39582.8675470772,39551.7642208478,39299.5559740811,39067.3928660469,38639.5386684573,34379.4561878381,37407.8796998796,38236.42801894,38501.3952650728,38974.8664331201,39255.6945178935,35693.113366009,37761.4760448593,38178.6693454536,38474.6377767164,38749.4429284736,33308.723412921,35449.8294454809,37232.7109992708,37232.1319985111,37417.2798440321,37376.8746041821,31574.8967929922,34347.9380205853
"17",37666,38137.324649086,38622.9940432246,39109.294317628,39595.7036978484,40012.3430076624,39989.134356158,40401.5122371186,40538.5882926187,40441.7476637927,40381.3569239808,40313.8448480906,39154.8811679447,39535.1326275417,39518.1129074687,39267.4882044987,39043.5459341045,38621.8923389032,34317.9191615471,37366.8795414921,38203.9836450373,38471.8737427324,38952.5102158848,39238.8470337102,35637.4839712518,37722.9486150344,38145.6880147235,38446.9160307055,38728.5558937508,33243.4406466423,35397.1395131802,37197.6112013538,37200.1068174047,37391.9457637853,37357.941759497,31511.0035053114
"18",37120,37578.372084964,38073.912193899,38579.3393613864,39069.358448375,39563.0469828408,39987.0614888194,39896.9191723979,40338.9066193771,40496.2979913873,40400.6233807536,40349.9007353268,40289.7861501929,39069.1898099464,39480.7880691183,39478.6739493414,39229.7747271399,39014.8198013577,38600.122182361,34250.1449775383,37319.8286240818,38165.9506624231,38436.9755213416,38925.4415322482,39217.9561538329,35575.4979135064,37678.4709197945,38107.083052625,38413.9763278209,38703.1362899042,33172.0900837652,35338.1943912087,37156.8232767193,37162.6075845284,37361.6880517055,37334.7823385882
"19",36577,37090.43054208,37482.7846938805,38003.0767082579,38529.2405785058,39023.2030413155,39524.7423968194,39956.8585415098,39796.2645915131,40268.6253525413,40447.4939588556,40353.080694771,40312.858638754,40260.9312096989,38975.3077970472,39419.2665388978,39433.0203370423,39186.0022229589,38980.8591954023,38573.9096113894,34175.3501959392,37266.2367903802,38121.9170021739,38396.3101237274,38893.3143412286,39192.7037510834,35506.4749372381,37627.577478769,38062.4381278685,38375.4412706397,38672.8476798814,33093.8114148878,35272.3561546204,37109.9156484078,37119.2294936628,37326.1506975197
