Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,33.00,5,8,10,13,15,17,20,23,26,30,33,37,41,45,49,54,65,77,88,100,111,123,135,146,158,170,210,250,290,330,370,496,623,749,875,1002,907,813,719,625,531
Hombres,34.00,6,8,11,13,16,19,21,23,26,28,30,34,37,41,44,48,58,69,80,90,101,112,123,134,145,156,194,232,271,309,347,469,590,712,833,955,865,775,686,596,506
Hombres,35.00,6,9,12,14,17,20,21,23,25,27,28,31,34,37,39,42,52,61,71,80,89,100,110,120,130,141,177,214,251,287,324,439,555,670,786,902,817,731,646,561,476
Hombres,36.00,6,9,12,16,19,22,23,24,25,26,27,29,30,32,34,36,45,53,61,70,78,87,97,106,115,125,160,194,229,264,299,408,517,626,735,845,764,683,603,522,442
Hombres,37.00,7,10,13,16,19,22,23,23,24,24,25,26,27,29,30,31,39,46,54,61,68,77,86,94,103,112,145,178,211,244,277,379,482,584,687,789,714,639,563,488,412
Hombres,38.00,7,9,12,15,18,21,21,22,22,22,22,23,24,26,27,28,34,41,48,55,62,70,78,86,94,103,134,165,197,228,260,355,451,547,643,738,669,599,530,461,391
Hombres,39.00,6,9,11,14,16,18,19,19,19,20,20,21,22,23,24,25,31,37,44,50,57,65,73,81,89,97,126,156,186,216,246,335,423,512,601,690,627,564,501,438,375
Hombres,40.00,6,8,10,12,14,16,17,17,17,18,18,19,19,20,21,22,28,34,40,46,52,60,67,75,83,91,119,147,175,203,231,313,396,478,560,642,585,529,472,415,358
Hombres,41.00,6,7,9,11,12,14,14,15,15,15,16,16,17,18,19,19,25,31,36,42,48,55,63,70,78,86,112,138,165,191,217,293,368,443,519,594,544,494,443,393,343
Hombres,42.00,6,7,8,10,11,13,13,13,14,14,14,15,16,16,17,18,23,28,33,39,44,51,59,66,73,81,105,130,154,179,203,272,342,411,480,549,504,459,414,369,323
Hombres,43.00,5,7,9,10,12,13,13,14,14,14,14,14,15,15,16,16,21,26,31,36,41,48,55,62,68,75,98,120,143,166,188,252,316,380,445,509,466,424,382,340,297
Hombres,44.00,5,7,9,11,13,15,15,15,14,14,14,14,15,15,15,16,20,25,29,34,38,45,51,57,64,70,91,111,132,152,173,233,292,352,411,471,430,390,349,308,268
Hombres,45.00,5,7,10,12,14,16,16,16,15,15,14,15,15,15,15,15,19,24,28,32,36,42,48,54,59,65,84,103,121,140,159,214,269,324,380,435,396,357,318,279,240
Hombres,46.00,5,8,10,13,16,18,17,17,16,15,15,15,15,15,15,15,19,23,27,31,35,40,45,51,56,61,78,95,112,128,145,196,247,298,350,401,363,325,288,250,212
Hombres,47.00,5,8,10,13,16,19,18,17,16,16,15,15,15,15,15,15,18,22,26,29,33,38,43,47,52,57,72,87,102,117,132,179,226,274,321,368,332,296,261,225,189
Hombres,48.00,4,7,9,12,15,17,17,16,16,15,14,14,15,15,15,15,18,21,24,28,31,35,39,44,48,52,66,79,93,106,120,163,206,249,292,335,303,271,239,207,174
Hombres,49.00,4,6,8,10,12,15,14,14,14,14,14,14,14,14,15,15,18,20,23,26,29,32,36,40,43,47,59,71,84,96,108,148,187,226,265,304,276,248,220,192,165
Hombres,50.00,3,5,7,9,10,12,12,12,13,13,13,13,14,14,15,15,18,20,22,25,27,30,33,36,39,42,53,64,75,86,98,133,168,204,239,275,251,227,203,179,155
Hombres,51.00,3,4,6,7,8,10,10,11,11,12,12,13,14,15,15,16,18,20,22,23,25,28,30,32,34,37,47,57,67,77,87,119,151,183,214,246,226,206,186,166,146
Hombres,52.00,3,4,5,6,7,8,9,9,10,11,12,13,13,14,15,16,17,19,21,22,24,26,28,29,31,33,42,51,60,69,78,107,136,165,193,222,205,188,171,154,137
Hombres,53.00,2,3,4,5,6,7,8,9,10,10,11,12,12,13,14,14,16,18,19,21,22,24,26,28,30,32,39,47,54,62,69,96,124,151,178,205,189,172,156,140,124
Hombres,54.00,3,4,5,6,7,8,8,9,9,9,10,10,11,11,12,12,14,16,18,19,21,23,25,27,29,32,38,43,49,55,61,87,113,139,165,191,175,159,143,126,110
Hombres,55.00,3,4,5,6,7,8,8,8,9,9,9,9,9,10,10,10,12,14,16,18,20,22,24,27,29,31,36,40,45,50,54,79,104,129,154,179,163,147,130,114,98
Hombres,56.00,3,4,5,6,7,8,8,8,8,8,8,8,8,8,8,8,10,12,14,16,19,21,24,26,29,31,35,38,41,44,48,72,96,120,145,169,152,136,119,103,86
Hombres,57.00,2,4,5,6,7,8,8,8,8,7,7,7,7,7,7,7,9,11,13,15,18,20,23,26,28,31,33,35,37,40,42,65,88,110,133,156,140,124,108,92,76
Hombres,58.00,2,3,5,6,7,8,8,7,7,7,7,7,7,7,7,7,9,11,13,15,17,20,22,24,27,29,31,32,34,35,37,57,77,98,118,138,124,110,96,82,68
Hombres,59.00,2,3,4,5,6,7,7,7,7,7,7,7,8,8,8,9,10,12,14,15,17,19,21,23,25,26,28,29,30,32,33,50,67,83,100,117,106,95,84,73,62
Hombres,60.00,2,3,4,5,5,6,7,7,7,7,7,8,8,9,9,10,11,13,14,15,17,18,20,21,23,24,25,26,27,29,30,43,57,70,84,98,89,81,73,65,57
Hombres,61.00,2,3,3,4,5,6,6,6,7,7,7,8,9,10,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,37,48,58,69,79,74,68,63,57,52
Hombres,62.00,2,2,3,4,4,5,5,6,6,7,7,8,9,10,11,11,12,13,14,15,16,17,18,18,19,20,21,22,23,23,24,32,40,48,56,64,61,57,54,51,47
Hombres,63.00,1,2,3,3,4,4,5,5,6,6,6,7,8,9,9,10,11,12,13,14,15,15,16,17,18,18,19,20,21,22,23,30,36,42,48,55,52,50,48,46,44
Hombres,64.00,1,2,2,3,3,4,4,4,4,5,5,5,6,7,7,8,9,10,11,11,12,13,14,15,16,17,18,19,21,22,23,28,33,38,44,49,47,45,44,42,40
Hombres,65.00,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,7,8,9,10,11,12,13,14,15,17,18,20,22,23,27,31,35,39,43,42,41,40,39,38
Hombres,66.00,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,6,7,8,10,11,12,13,14,16,18,20,22,23,26,29,32,35,38,38,37,37,36,35
Hombres,67.00,0,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,5,6,7,8,9,10,12,13,15,17,19,21,23,25,27,30,32,34,34,34,33,33,33
Hombres,68.00,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,23,25,27,29,31,30,30,29,29,28
Hombres,69.00,0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,4,5,6,6,7,8,9,10,12,13,14,16,17,19,22,24,26,28,27,26,25,24,23
Hombres,70.00,0,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,3,4,4,5,6,7,8,8,9,10,11,12,13,14,17,19,21,24,26,25,23,22,20,19
Hombres,71.00,0,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,3,4,5,5,6,7,8,8,9,10,10,11,12,14,17,19,22,25,23,21,19,17,15
Hombres,72.00,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,6,7,7,8,8,8,9,9,12,15,18,21,23,21,19,16,14,11
Hombres,72.00,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,6,7,7,7,7,7,10,13,16,19,22,19,17,14,11,9
Hombres,74.00,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,6,5,5,5,5,8,11,14,17,21,18,15,12,9,6
Hombres,75.00,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,4,4,4,4,7,10,13,16,19,16,13,10,8,5
