year,edad,S.x..
2016,0,0.991720913
2016,1,0.997842251
2016,2,0.998880071
2016,3,0.999267194
2016,4,0.998600809
2016,5,0.995768358
2016,6,0.999903751
2016,7,0.999803364
2016,8,0.99962428
2016,9,0.999601634
2016,10,0.999095502
2016,11,0.998136557
2016,12,0.999787388
2016,13,0.999609093
2016,14,0.999372819
2016,15,0.999164295
2016,16,0.998516119
2016,17,0.997673554
2016,18,0.999203409
2016,19,0.998826178
2016,20,0.99849932
2016,21,0.998050869
2016,22,0.997051571
2016,23,0.998824668
2016,24,0.998442676
2016,25,0.997949048
2016,26,0.99775267
2016,27,0.997038917
2016,28,0.995352142
2016,29,0.998463631
2016,30,0.997992397
2016,31,0.997355154
2016,32,0.997148881
2016,33,0.995956726
2016,34,0.993589542
2016,35,0.998150754
2016,36,0.997516423
2016,37,0.996739622
2016,38,0.996472588
2016,39,0.994635903
2016,40,0.991926403
2016,41,0.997441374
2016,42,0.99654627
2016,43,0.995699656
2016,44,0.994900494
2016,45,0.992504195
2016,46,0.989812503
2016,47,0.995963916
2016,48,0.994683305
2016,49,0.993823194
2016,50,0.992340564
2016,51,0.98886575
2016,52,0.994797565
2016,53,0.993294786
2016,54,0.99145511
2016,55,0.990392353
2016,56,0.987986566
2016,57,0.983327834
2016,58,0.991025164
2016,59,0.988794884
2016,60,0.986138687
2016,61,0.98475946
2016,62,0.980429198
2016,63,0.975106683
2016,64,0.984733832
2016,65,0.98143759
2016,66,0.97802446
2016,67,0.975488522
2016,68,0.969027469
2016,69,0.963558601
2016,70,0.974447236
2016,71,0.969628938
2016,72,0.965316384
2016,73,0.960733397
2016,74,0.952391866
2016,75,0.964080585
2016,76,0.957924938
2016,77,0.951034468
2016,78,0.945888397
2016,79,0.938178024
2016,80,0.926044495
2016,81,0.940740305
2016,82,0.931975563
2016,83,0.922392983
2016,84,0.915889031
2016,85,0.903932079
2016,86,0.888064067
2016,87,0.903831735
2016,88,0.891270951
2016,89,0.877618042
2016,90,0.867393176
2016,91,0.849168107
2016,92,0.829531525
2016,93,0.841815152
2016,94,0.82321638
2016,95,0.80425415
2016,96,0.786069648
2016,97,0.761132177
2016,98,0.735785331
2016,99,0.737563698
2016,100,0.710263914
2016,101,0.683358201
2016,102,0.654029282
2016,103,0.620098753
2016,104,0.605905011
2016,105,0.569228852
2016,106,0.53101764
2016,107,0.493110087
2016,108,0.451797526
2016,109,0.657394978
2017,0,0.939437829
2017,1,0.998609908
2017,2,0.999507572
2017,3,0.999347444
2017,4,0.999448368
2017,5,0.998867229
2017,6,0.996617468
2017,7,0.99990002
2017,8,0.999799108
2017,9,0.99962311
2017,10,0.999588894
2017,11,0.999097043
2017,12,0.99819738
2017,13,0.999736846
2017,14,0.999528397
2017,15,0.999260292
2017,16,0.999025624
2017,17,0.99833726
2017,18,0.997456319
2017,19,0.999072167
2017,20,0.998673986
2017,21,0.998337556
2017,22,0.997873747
2017,23,0.996817546
2017,24,0.998751803
2017,25,0.998361689
2017,26,0.997853241
2017,27,0.997661381
2017,28,0.996918775
2017,29,0.99513991
2017,30,0.998435292
2017,31,0.997947377
2017,32,0.997285309
2017,33,0.997070622
2017,34,0.99583233
2017,35,0.993381868
2017,36,0.998088463
2017,37,0.997424119
2017,38,0.996612714
2017,39,0.996325547
2017,40,0.994430268
2017,41,0.99166194
2017,42,0.997281798
2017,43,0.996339343
2017,44,0.995448348
2017,45,0.994606671
2017,46,0.992134612
2017,47,0.989376731
2017,48,0.99564687
2017,49,0.994295152
2017,50,0.993380899
2017,51,0.991823004
2017,52,0.988224284
2017,53,0.994333161
2017,54,0.992736328
2017,55,0.990790587
2017,56,0.989654496
2017,57,0.987122327
2017,58,0.982270572
2017,59,0.990231065
2017,60,0.987859814
2017,61,0.985046299
2017,62,0.98356606
2017,63,0.979012976
2017,64,0.973445748
2017,65,0.983413536
2017,66,0.979909167
2017,67,0.976288503
2017,68,0.973582606
2017,69,0.966799562
2017,70,0.961060107
2017,71,0.972290937
2017,72,0.96718012
2017,73,0.962602197
2017,74,0.957744564
2017,75,0.949009103
2017,76,0.961005302
2017,77,0.954476264
2017,78,0.947191164
2017,79,0.941716401
2017,80,0.933599385
2017,81,0.920969766
2017,82,0.93584902
2017,83,0.926600118
2017,84,0.916527483
2017,85,0.909544923
2017,86,0.896924133
2017,87,0.88033492
2017,88,0.89579213
2017,89,0.882397813
2017,90,0.867866821
2017,91,0.856760809
2017,92,0.837542808
2017,93,0.816903426
2017,94,0.8280953
2017,95,0.808244251
2017,96,0.787976012
2017,97,0.768399757
2017,98,0.742109428
2017,99,0.715391245
2017,100,0.71472276
2017,101,0.685709516
2017,102,0.656965047
2017,103,0.625803092
2017,104,0.590296908
2017,105,0.572247206
2017,106,0.533623463
2017,107,0.493536711
2017,108,0.453425489
2017,109,0.6614949
2018,0,0.966862542
2018,1,0.965882256
2018,2,0.999783505
2018,3,0.99970842
2018,4,0.999506606
2018,5,0.999543221
2018,6,0.999054611
2018,7,0.997282506
2018,8,0.999892525
2018,9,0.999788449
2018,10,0.999609306
2018,11,0.999560688
2018,12,0.999065648
2018,13,0.998195008
2018,14,0.999669474
2018,15,0.999427691
2018,16,0.999127672
2018,17,0.998869723
2018,18,0.998139527
2018,19,0.997214438
2018,20,0.99894262
2018,21,0.998526885
2018,22,0.998183624
2018,23,0.997705573
2018,24,0.996589006
2018,25,0.99869136
2018,26,0.998292647
2018,27,0.997768249
2018,28,0.997579226
2018,29,0.996806538
2018,30,0.994936092
2018,31,0.998407094
2018,32,0.997900697
2018,33,0.997212222
2018,34,0.996986889
2018,35,0.995701971
2018,36,0.993172957
2018,37,0.998014448
2018,38,0.997317774
2018,39,0.99646961
2018,40,0.996160411
2018,41,0.994204918
2018,42,0.991377848
2018,43,0.997101438
2018,44,0.996108255
2018,45,0.995170046
2018,46,0.994282906
2018,47,0.991729909
2018,48,0.988900171
2018,49,0.995297695
2018,50,0.993870153
2018,51,0.992898261
2018,52,0.991259752
2018,53,0.987527295
2018,54,0.993825992
2018,55,0.992128221
2018,56,0.990069165
2018,57,0.988854893
2018,58,0.986187653
2018,59,0.981130566
2018,60,0.989368335
2018,61,0.986846751
2018,62,0.983865444
2018,63,0.982276604
2018,64,0.977488256
2018,65,0.971663922
2018,66,0.981981647
2018,67,0.978258295
2018,68,0.974416653
2018,69,0.971529872
2018,70,0.964409792
2018,71,0.95838769
2018,72,0.96995928
2018,73,0.964540937
2018,74,0.959682866
2018,75,0.954535676
2018,76,0.945393964
2018,77,0.957681299
2018,78,0.950757687
2018,79,0.943062419
2018,80,0.937242251
2018,81,0.928702514
2018,82,0.91556968
2018,83,0.930587235
2018,84,0.92083564
2018,85,0.910196414
2018,86,0.902634916
2018,87,0.889303116
2018,88,0.871948273
2018,89,0.887001787
2018,90,0.872711749
2018,91,0.857239144
2018,92,0.845175687
2018,93,0.824905007
2018,94,0.803205618
2018,95,0.813120554
2018,96,0.791937138
2018,97,0.770279601
2018,98,0.749217614
2018,99,0.721515671
2018,100,0.693368142
2018,101,0.689973268
2018,102,0.659182266
2018,103,0.628526204
2018,104,0.59547836
2018,105,0.558393472
2018,106,0.536217911
2018,107,0.495666163
2018,108,0.453747609
2018,109,0.663901666
2019,0,0.976874595
2019,1,0.991709056
2019,2,0.989696984
2019,3,0.999869702
2019,4,0.999772664
2019,5,0.999590349
2019,6,0.999606741
2019,7,0.999167417
2019,8,0.997721362
2019,9,0.999881192
2019,10,0.999770192
2019,11,0.99958066
2019,12,0.999513883
2019,13,0.999001439
2019,14,0.998137058
2019,15,0.999584395
2019,16,0.999308747
2019,17,0.998978865
2019,18,0.998701409
2019,19,0.997928334
2019,20,0.996953758
2019,21,0.998819231
2019,22,0.998388557
2019,23,0.998040211
2019,24,0.997548211
2019,25,0.996368065
2019,26,0.99864217
2019,27,0.998233828
2019,28,0.99769225
2019,29,0.997504097
2019,30,0.996700118
2019,31,0.994739147
2019,32,0.998376696
2019,33,0.997849964
2019,34,0.997133472
2019,35,0.996895204
2019,36,0.995563176
2019,37,0.992960211
2019,38,0.997927288
2019,39,0.997195768
2019,40,0.996308476
2019,41,0.995975216
2019,42,0.993957419
2019,43,0.991070406
2019,44,0.99689866
2019,45,0.995851324
2019,46,0.994862627
2019,47,0.993927024
2019,48,0.991287604
2019,49,0.988380061
2019,50,0.994914179
2019,51,0.993405897
2019,52,0.99237227
2019,53,0.990647238
2019,54,0.986770995
2019,55,0.99327218
2019,56,0.991466627
2019,57,0.989287034
2019,58,0.987988516
2019,59,0.985177692
2019,60,0.979901877
2019,61,0.988431648
2019,62,0.985749078
2019,63,0.982589101
2019,64,0.980884598
2019,65,0.975847991
2019,66,0.969753399
2019,67,0.980431475
2019,68,0.97647444
2019,69,0.972398898
2019,70,0.96931966
2019,71,0.961847859
2019,72,0.955533216
2019,73,0.967439574
2019,74,0.96169758
2019,75,0.956543499
2019,76,0.95109375
2019,77,0.941529861
2019,78,0.954088931
2019,79,0.946754628
2019,80,0.938630517
2019,81,0.932445151
2019,82,0.92346933
2019,83,0.909827575
2019,84,0.924929941
2019,85,0.914599473
2019,86,0.903298997
2019,87,0.895106372
2019,88,0.881013415
2019,89,0.862846496
2019,90,0.877390301
2019,91,0.862138642
2019,92,0.845657474
2019,93,0.832555112
2019,94,0.811170421
2019,95,0.788352874
2019,96,0.796787457
2019,97,0.774190418
2019,98,0.751059587
2019,99,0.728417078
2019,100,0.699248694
2019,101,0.669618431
2019,102,0.663207944
2019,103,0.630584798
2019,104,0.597955679
2019,105,0.562983626
2019,106,0.524334176
2019,107,0.497788462
2019,108,0.45535626
2019,109,0.664378785
2020,0,0.980124998
2020,1,0.996087813
2020,2,0.997419996
2020,3,0.994242343
2020,4,0.999895231
2020,5,0.999807728
2020,6,0.999645973
2020,7,0.99963102
2020,8,0.999236919
2020,9,0.998012584
2020,10,0.99986476
2020,11,0.999741769
2020,12,0.999533968
2020,13,0.9994457
2020,14,0.998905152
2020,15,0.998030203
2020,16,0.999482855
2020,17,0.999175246
2020,18,0.998818629
2020,19,0.998526091
2020,20,0.997709058
2020,21,0.996679858
2020,22,0.99870553
2020,23,0.998261496
2020,24,0.997908846
2020,25,0.99740262
2020,26,0.996155882
2020,27,0.998602341
2020,28,0.998183165
2020,29,0.997623089
2020,30,0.99743348
2020,31,0.996597004
2020,32,0.994547702
2020,33,0.998341936
2020,34,0.997793015
2020,35,0.997046624
2020,36,0.996793266
2020,37,0.995413558
2020,38,0.992740296
2020,39,0.997825567
2020,40,0.99705644
2020,41,0.996127377
2020,42,0.995768216
2020,43,0.993685388
2020,44,0.990736314
2020,45,0.996671874
2020,46,0.995566503
2020,47,0.994524126
2020,48,0.993537093
2020,49,0.990804977
2020,50,0.98781228
2020,51,0.994493968
2020,52,0.99289947
2020,53,0.991799534
2020,54,0.989982331
2020,55,0.985952184
2020,56,0.992668121
2020,57,0.990747994
2020,58,0.988439099
2020,59,0.987050669
2020,60,0.984087064
2020,61,0.978577753
2020,62,0.987414163
2020,63,0.984559758
2020,64,0.981210825
2020,65,0.979382396
2020,66,0.97408384
2020,67,0.967705027
2020,68,0.978752017
2020,69,0.974547212
2020,70,0.970224635
2020,71,0.966940945
2020,72,0.959104435
2020,73,0.952484122
2020,74,0.964717642
2020,75,0.958634457
2020,76,0.95317118
2020,77,0.947401667
2020,78,0.937394077
2020,79,0.950213448
2020,80,0.94244606
2020,81,0.933874001
2020,82,0.927306935
2020,83,0.917881951
2020,84,0.903727604
2020,85,0.918795594
2020,86,0.9077941
2020,87,0.895782428
2020,88,0.886902078
2020,89,0.871994798
2020,90,0.852967437
2020,91,0.866881612
2020,92,0.850598815
2020,93,0.833038886
2020,94,0.818811089
2020,95,0.796249979
2020,96,0.772255777
2020,97,0.77898814
2020,98,0.754896146
2020,99,0.730208594
2020,100,0.705891479
2020,101,0.675207454
2020,102,0.644047512
2020,103,0.634326882
2020,104,0.599830124
2020,105,0.565181327
2020,106,0.528264777
2020,107,0.488084751
2020,108,0.456960875
2020,109,0.666765958
2021,0,0.987849162
2021,1,0.997028868
2021,2,0.998749055
2021,3,0.998520683
2021,4,0.995990035
2021,5,0.999909761
2021,6,0.999829325
2021,7,0.999665298
2021,8,0.999640468
2021,9,0.999275499
2021,10,0.998199351
2021,11,0.999840904
2021,12,0.999699756
2021,13,0.999466374
2021,14,0.99935465
2021,15,0.998778849
2021,16,0.997880574
2021,17,0.999368157
2021,18,0.999031809
2021,19,0.998652391
2021,20,0.998349121
2021,21,0.997486625
2021,22,0.996397326
2021,23,0.998603718
2021,24,0.998147018
2021,25,0.997790089
2021,26,0.997268751
2021,27,0.995953047
2021,28,0.998569717
2021,29,0.998138376
2021,30,0.997558203
2021,31,0.997364753
2021,32,0.996494704
2021,33,0.994360088
2021,34,0.998300939
2021,35,0.997727671
2021,36,0.996949413
2021,37,0.996678949
2021,38,0.995250681
2021,39,0.992509985
2021,40,0.997707783
2021,41,0.996898017
2021,42,0.995924615
2021,43,0.995537665
2021,44,0.993386491
2021,45,0.990372401
2021,46,0.996419112
2021,47,0.99525205
2021,48,0.994152727
2021,49,0.993110456
2021,50,0.9902787
2021,51,0.987194064
2021,52,0.994034348
2021,53,0.992347561
2021,54,0.991177149
2021,55,0.989261355
2021,56,0.985065901
2021,57,0.992010477
2021,58,0.989967068
2021,59,0.987520707
2021,60,0.986036244
2021,61,0.982909606
2021,62,0.977153875
2021,63,0.986308867
2021,64,0.98327264
2021,65,0.979722921
2021,66,0.977761321
2021,67,0.972187632
2021,68,0.965511518
2021,69,0.976932527
2021,70,0.972466141
2021,71,0.967882717
2021,72,0.964382742
2021,73,0.956166951
2021,74,0.94922803
2021,75,0.961776891
2021,76,0.955338695
2021,77,0.949548583
2021,78,0.943437987
2021,79,0.932972171
2021,80,0.946030865
2021,81,0.937808733
2021,82,0.928774641
2021,83,0.92180903
2021,84,0.91192112
2021,85,0.897182286
2021,86,0.912089644
2021,87,0.900365556
2021,88,0.887589303
2021,89,0.877959995
2021,90,0.862182209
2021,91,0.842244274
2021,92,0.855393874
2021,93,0.838006985
2021,94,0.819295143
2021,95,0.803850546
2021,96,0.78005018
2021,97,0.754821223
2021,98,0.759611289
2021,99,0.733944286
2021,100,0.707618735
2021,101,0.681535536
2021,102,0.649294231
2021,103,0.616566188
2021,104,0.603241179
2021,105,0.566845547
2021,106,0.530149067
2021,107,0.491289418
2021,108,0.449635209
2021,109,0.669154598
2022,0,0.99254086
2022,1,0.998031527
2022,2,0.999060862
2022,3,0.999272669
2022,4,0.998915703
2022,5,0.996836344
2022,6,0.999917665
2022,7,0.999829904
2022,8,0.999671467
2022,9,0.999638114
2022,10,0.999287697
2022,11,0.998306004
