Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,12,26623.00,27300.00,27941.00,28522.00,29048.00,29528.00,29977.00,30412.00,30836.00,31261.00,31698.00,32561.00,33858.00,35143.00,36429.00,37636.00,38730.00,39694.00,40533.00,41126.00,41722.00,41813.00,41901.00,42004.00,42122.00,42234.00,42332.00,42578.00,42829.00,43059.00,43331.00,43159.00,42991.00,42942.00,42937.00,42787.00,42556.00,42302.00,41912.00,41503.00,41141.00,40954.00,40666.00,40436.00,40268.00,40082.00,39939.00
Hombres,13,25367.00,26058.00,26727.00,27345.00,27904.00,28409.00,28871.00,29301.00,29717.00,30120.00,30520.00,31324.00,32554.00,33799.00,35031.00,36262.00,37411.00,38449.00,39355.00,40133.00,40667.00,40772.00,40878.00,40997.00,41128.00,41287.00,41444.00,41697.00,41966.00,42198.00,42464.00,42362.00,42281.00,42157.00,42153.00,42172.00,42088.00,41939.00,41728.00,41372.00,40990.00,40772.00,40442.00,40119.00,39879.00,39680.00,39481.00
Hombres,14,24091.00,24770.00,25450.00,26093.00,26685.00,27221.00,27708.00,28150.00,28561.00,28955.00,29332.00,30065.00,31198.00,32370.00,33556.00,34725.00,35890.00,36975.00,37948.00,38786.00,39495.00,39619.00,39728.00,39850.00,39979.00,40147.00,40340.00,40616.00,40894.00,41135.00,41412.00,41354.00,41359.00,41319.00,41239.00,41248.00,41334.00,41325.00,41238.00,41080.00,40766.00,40516.00,40153.00,39789.00,39465.00,39197.00,38991.00
Hombres,15,22793.00,23443.00,24107.00,24755.00,25368.00,25933.00,26447.00,26911.00,27333.00,27720.00,28086.00,28761.00,29784.00,30852.00,31956.00,33069.00,34165.00,35259.00,36270.00,37165.00,37925.00,38288.00,38403.00,38506.00,38614.00,38778.00,38966.00,39246.00,39548.00,39786.00,40081.00,40090.00,40176.00,40221.00,40220.00,40136.00,40219.00,40400.00,40481.00,40491.00,40386.00,40184.00,39792.00,39398.00,39042.00,38693.00,38427.00
Hombres,16,21447.00,22102.00,22731.00,23360.00,23973.00,24554.00,25093.00,25581.00,26022.00,26417.00,26772.00,27401.00,28330.00,29283.00,30276.00,31302.00,32337.00,33356.00,34369.00,35294.00,36102.00,36573.00,36919.00,37004.00,37061.00,37206.00,37372.00,37619.00,37917.00,38170.00,38454.00,38522.00,38727.00,38853.00,38928.00,38897.00,38899.00,39123.00,39421.00,39653.00,39724.00,39704.00,39367.00,38946.00,38571.00,38194.00,37859.00
Hombres,17,20192.00,20750.00,21380.00,21972.00,22563.00,23141.00,23693.00,24204.00,24667.00,25078.00,25439.00,26026.00,26876.00,27733.00,28610.00,29525.00,30470.00,31427.00,32364.00,33287.00,34121.00,34687.00,35146.00,35433.00,35445.00,35541.00,35664.00,35868.00,36115.00,36366.00,36637.00,36709.00,37020.00,37260.00,37405.00,37421.00,37479.00,37677.00,38042.00,38536.00,38834.00,38961.00,38814.00,38447.00,38058.00,37666.00,37313.00
Hombres,18,18952.00,19523.00,20058.00,20650.00,21206.00,21762.00,22312.00,22835.00,23318.00,23749.00,24124.00,24688.00,25470.00,26251.00,27036.00,27839.00,28678.00,29550.00,30428.00,31280.00,32114.00,32745.00,33308.00,33689.00,33877.00,33921.00,33974.00,34123.00,34305.00,34518.00,34749.00,34802.00,35147.00,35487.00,35731.00,35794.00,35894.00,36189.00,36545.00,37135.00,37695.00,38014.00,38026.00,37846.00,37521.00,37120.00,36760.00
Hombres,19,17793.00,18338.00,18886.00,19387.00,19944.00,20468.00,20997.00,21519.00,22014.00,22465.00,22858.00,23412.00,24150.00,24869.00,25585.00,26303.00,27039.00,27811.00,28612.00,29413.00,30185.00,30848.00,31480.00,31957.00,32233.00,32430.00,32417.00,32496.00,32603.00,32763.00,32920.00,32924.00,33256.00,33625.00,33955.00,34104.00,34239.00,34606.00,35060.00,35648.00,36302.00,36847.00,37067.00,37043.00,36911.00,36577.00,36216.00
Hombres,20,17006.00,17246.00,17769.00,18285.00,18756.00,19283.00,19783.00,20286.00,20781.00,21243.00,21655.00,22207.00,22919.00,23600.00,24262.00,24920.00,25578.00,26258.00,26969.00,27703.00,28433.00,29059.00,29722.00,30269.00,30644.00,30909.00,31033.00,31054.00,31078.00,31173.00,31253.00,31184.00,31454.00,31805.00,32156.00,32388.00,32591.00,33007.00,33526.00,34200.00,34851.00,35459.00,35920.00,36099.00,36128.00,35987.00,35699.00
Hombres,21,16192.00,16518.00,16747.00,17240.00,17728.00,18174.00,18679.00,19155.00,19632.00,20093.00,20516.00,21071.00,21769.00,22431.00,23063.00,23675.00,24282.00,24893.00,25521.00,26176.00,26850.00,27452.00,28075.00,28658.00,29111.00,29456.00,29644.00,29806.00,29764.00,29782.00,29786.00,29651.00,29822.00,30108.00,30439.00,30699.00,30968.00,31456.00,32013.00,32729.00,33460.00,34037.00,34581.00,34996.00,35230.00,35252.00,35157.00
