"Oaxaca: Tablas de mortalidad por sexo, 1970-2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Hombres,,,,,,,,Mujeres,,,,,,,,Total,,,,,,
year y edad,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x)
,,,,,,,,,,,,,,,,,,,,,,,
93,0.17695154,0.1947402,8893,1574,8081,34757,3.90816768,,0.16576942,0.18124544,14090,2336,12887,57351,4.07018053,,0.1706214,0.18707853,11435,1951,10429,45738,3.9996792
94,0.19141099,0.21246451,7320,1401,6594,26676,3.64439449,,0.18061479,0.19920096,11755,2123,10658,44463,3.78260842,,0.18527784,0.20490813,9484,1757,8576,35309,3.72284542
95,0.2071068,0.23206674,5919,1226,5282,20081,3.39293065,,0.19675831,0.21909963,9632,1895,8650,33805,3.50984128,,0.20120234,0.2246476,7727,1555,6921,26733,3.45964059
96,0.22412746,0.25376702,4693,1052,4145,14799,3.15362228,,0.21428954,0.24116693,7737,1658,6874,25156,3.25158677,,0.21848669,0.2465231,6172,1349,5470,19812,3.20983066
97,0.24256185,0.2778134,3641,883,3179,10655,2.92628039,,0.23329722,0.26565606,6079,1418,5338,18282,3.00751248,,0.23722001,0.27078564,4824,1144,4226,14342,2.97315213
98,0.26249744,0.30448572,2758,724,2378,7476,2.71067637,,0.25386713,0.29285158,4661,1183,4040,12943,2.77724277,,0.25749204,0.29772169,3679,947,3182,10116,2.74929682
99,0.2840178,0.33409997,2034,578,1729,5098,2.50653419,,0.27607933,0.32307347,3477,960,2972,8903,2.5603522,,0.27938344,0.3276481,2732,763,2330,6934,2.53791465
100,0.30719949,0.36701319,1456,447,1219,3369,2.31351553,,0.30000476,0.35668175,2517,755,2117,5932,2.35635184,,0.30298548,0.36094903,1969,597,1653,4604,2.33858218
101,0.33210832,0.40362927,1009,335,830,2150,2.13119038,,0.3257011,0.39408179,1762,574,1456,3814,2.16466124,,0.32834382,0.39800871,1372,451,1132,2952,2.15084288
102,0.35879462,0.44440546,674,242,544,1320,1.9589779,,0.35320783,0.43573025,1188,420,963,2358,1.98455057,,0.35550251,0.43928435,922,328,746,1819,1.97404044
103,0.38728775,0.48985986,432,167,342,776,1.79602235,,0.38254061,0.48214197,769,294,610,1395,1.81501788,,0.38448277,0.48529234,594,228,471,1074,1.80724353
