"Oaxaca: Tablas de mortalidad por sexo, 1970-2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Hombres,,,,,,,,Mujeres,,,,,,,,Total,,,,,,
year y edad,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x)
,,,,,,,,,,,,,,,,,,,,,,,
78,0.06910202,0.07160559,28488,1969,27492,244566,8.58486248,,0.05550255,0.05710229,40388,2242,39256,386745,9.57577408,,0.06198962,0.06399427,34084,2113,33016,309244,9.07305302
79,0.07379024,0.07665455,26519,1957,25529,217074,8.18545745,,0.05981735,0.06168111,38146,2282,36994,347489,9.10938344,,0.06649813,0.06881232,31971,2126,30896,276228,8.63996667
80,0.07878869,0.08206583,24563,1935,23582,191546,7.79825934,,0.06445168,0.06662248,35864,2312,34696,310495,8.65746622,,0.07132609,0.07399762,29845,2129,28767,245333,8.22022676
81,0.08410404,0.0878525,22627,1903,21662,167964,7.42304436,,0.06942056,0.07194783,33553,2329,32374,275799,8.2198318,,0.07648471,0.07956792,27716,2120,26642,216565,7.81364648
82,0.08975071,0.09403677,20724,1860,19780,146302,7.05943939,,0.07470312,0.07764064,31224,2333,30042,243425,7.79617293,,0.08197521,0.08553089,25596,2098,24532,189923,7.41990521
83,0.0957608,0.10066135,18864,1806,17946,126522,6.70697359,,0.08038283,0.08379782,28891,2322,27714,213383,7.38574604,,0.0878435,0.09194371,23498,2064,22450,165390,7.03845597
84,0.10207064,0.10766388,17058,1741,16172,108576,6.36519311,,0.08646857,0.0904375,26569,2297,25403,185669,6.98823267,,0.09406944,0.09879262,21434,2016,20409,142940,6.66886734
85,0.10891119,0.11531118,15317,1668,14467,92405,6.03292897,,0.09309747,0.0977203,24271,2260,23123,160266,6.60307719,,0.10084042,0.10629475,19418,1958,18421,122531,6.31028096
86,0.11632925,0.12367074,13649,1588,12838,77938,5.71035212,,0.10032001,0.10571615,22012,2208,20888,137143,6.2304203,,0.10820402,0.11451789,17460,1889,16497,104110,5.96289506
87,0.12437548,0.13281791,12061,1500,11294,65100,5.39761593,,0.10819105,0.11450335,19804,2143,18712,116255,5.8703806,,0.11619953,0.12352395,15570,1809,14647,87613,5.62688055
88,0.13310456,0.14283691,10561,1406,9841,53806,5.09485489,,0.11677,0.12416964,17661,2062,16609,97543,5.52305316,,0.12489969,0.13341676,13761,1719,12883,72966,5.30230101
89,0.14257535,0.15382198,9155,1305,8486,43964,4.80218352,,0.12612102,0.13481338,15599,1967,14593,80934,5.18850825,,0.13433379,0.14425588,12042,1618,11214,60083,4.98930129
90,0.15285096,0.16587864,7850,1200,7233,35479,4.51969522,,0.1363131,0.14654496,13631,1858,12680,66341,4.86678972,,0.14459462,0.15617979,10425,1507,9651,48869,4.68781437
91,0.16399877,0.1791252,6650,1091,6088,28245,4.24746115,,0.14742015,0.15948841,11773,1736,10882,53662,4.55791368,,0.15571412,0.16926412,8917,1389,8203,39218,4.3979064
92,0.17609033,0.19369438,5559,979,5054,22157,3.98552915,,0.15952088,0.17378317,10038,1601,9214,42779,4.26186738,,0.16782297,0.18371008,7529,1263,6878,31014,4.11940893
93,0.18920115,0.20973528,4580,867,4132,17103,3.7339225,,0.17269857,0.18958616,8436,1457,7685,33565,3.97860786,,0.18099142,0.19966072,6265,1134,5679,24136,3.85241131
94,0.20341029,0.22741553,3714,755,3322,12971,3.49263876,,0.18704063,0.20707415,6979,1305,6304,25880,3.70806072,,0.19535802,0.21735785,5131,1002,4612,18457,3.59692988
95,0.21879973,0.24692374,2958,647,2621,9649,3.26164831,,0.20263794,0.22644643,5674,1150,5077,19576,3.45011873,,0.21088452,0.2368426,4129,871,3676,13845,3.35322383
96,0.23545351,0.26847245,2311,544,2027,7028,3.04089227,,0.2195838,0.24792791,4524,993,4007,14499,3.20463998,,0.22755941,0.25820018,3258,741,2872,10169,3.12099364
97,0.25345642,0.29230129,1767,448,1532,5001,2.83027976,,0.23797248,0.27177261,3531,840,3092,10492,2.97144521,,0.24575419,0.28203695,2517,618,2193,7297,2.89946472
98,0.27289239,0.31868079,1319,360,1130,3469,2.62968307,,0.25789738,0.29826775,2691,694,2326,7400,2.75031322,,0.26543315,0.30847427,1898,504,1633,5104,2.68892464
99,0.29384223,0.3479166,959,282,810,2339,2.43892943,,0.27944847,0.32773834,1997,558,1702,5074,2.54097291,,0.28668165,0.33782747,1394,400,1183,3471,2.489159
100,0.31638098,0.38035451,677,214,563,1529,2.25778553,,0.30270905,0.36055252,1439,436,1208,3371,2.34308803,,0.30956998,0.37044065,995,308,831,2288,2.29989214
101,0.34057431,0.41638599,463,158,379,966,2.08592793,,0.32775181,0.39712768,1003,329,828,2163,2.15622777,,0.33417777,0.40673256,687,229,564,1456,2.12072438
102,0.36647436,0.45645481,305,112,245,587,1.92288325,,0.35463387,0.43793748,674,239,546,1335,1.97980732,,0.36055987,0.44716228,457,165,369,892,1.95113476
103,0.39411462,0.50106445,193,76,152,342,1.76790347,,0.38339088,0.48351997,435,167,345,789,1.8129637,,0.38875108,0.492251,292,114,231,523,1.79032533
104,0.42350397,0.55078682,117,50,90,190,1.61969369,,0.41403012,0.53448689,268,111,208,444,1.65428524,,0.41875967,0.54259096,179,75,138,293,1.63694975
105,0.45461981,0.60627214,68,31,51,100,1.47578893,,0.44652264,0.59153444,157,70,119,236,1.5011936,,0.45056005,0.5988558,104,47,78,155,1.4884926
106,0.48740056,0.66826055,37,18,27,49,1.33104939,,0.4807946,0.65545571,87,42,64,117,1.34845398,,0.48408462,0.66181251,57,28,42,76,1.33977227
107,0.52173741,0.73759535,19,10,13,22,1.17380604,,0.51671804,0.72715502,45,23,32,54,1.18436126,,0.51921505,0.7323352,29,15,21,35,1.17910706
108,0.5574662,0.81523843,9,5,6,9,0.97531554,,0.55410176,0.80766451,22,12,15,21,0.98029513,,0.55577365,0.81142105,14,8,10,14,0.97782083
109,1,0.90228815,4,2,3,3,1.1082934,,1,0.89816335,10,6,6,6,1.11338322,,1,0.90020876,6,4,4,4,1.11085344
,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,
0,0.10404978,0.1122349,100000,10405,92707,5656605,56.56605331,,0.08956477,0.09542709,100000,8956,93857,6221659,62.21658928,,0.09698392,0.10395708,100000,9698,93292,5928786,59.28785618
1,0.02087013,0.02111693,89595,1870,88548,5563898,62.10052797,,0.02032851,0.02056259,91044,1851,90007,6127802,67.30629438,,0.02060295,0.02084344,90302,1860,89260,5835493,64.62225281
2,0.01089671,0.01096001,87725,956,87219,5475350,62.41482071,,0.01032004,0.0103768,89193,920,88705,6037795,67.69379201,,0.01061217,0.0106722,88441,939,87944,5746234,64.97241415
3,0.00700804,0.00703318,86769,608,86459,5388132,62.09725191,,0.00636011,0.00638081,88272,561,87986,5949090,67.39477864,,0.00668542,0.00670829,87503,585,87204,5658290,64.66426706
4,0.00539218,0.00540676,86161,465,85929,5301673,61.53204521,,0.00467454,0.00468549,87711,410,87506,5861104,66.82302427,,0.00503227,0.00504496,86918,437,86699,5571086,64.09618644
5,0.00436904,0.00437861,85697,374,85509,5215744,60.86292532,,0.00327656,0.00328194,87301,286,87158,5773598,66.13450987,,0.00382123,0.00382855,86480,330,86315,5484387,63.41783825
6,0.00341938,0.00342524,85322,292,85176,5130235,60.12781212,,0.00255488,0.00255815,87015,222,86904,5686441,65.35027315,,0.00298656,0.00299103,86150,257,86021,5398072,62.65918516
7,0.00279185,0.00279575,85030,237,84912,5045058,59.33240286,,0.0020659,0.00206804,86792,179,86703,5599537,64.5163828,,0.0024292,0.00243216,85892,209,85788,5312051,61.84538424
8,0.00236471,0.00236751,84793,201,84693,4960147,58.49711434,,0.00172563,0.00172712,86613,149,86538,5512834,63.64890859,,0.00204602,0.00204811,85684,175,85596,5226263,60.99476791
9,0.0020757,0.00207786,84593,176,84505,4875454,57.63458622,,0.00148409,0.00148519,86464,128,86400,5426296,62.75806882,,0.00178119,0.00178278,85508,152,85432,5140667,60.11879529
10,0.00188824,0.00189002,84417,159,84337,4790949,56.75342768,,0.00131512,0.00131599,86335,114,86279,5339896,61.85060276,,0.00160368,0.00160497,85356,137,85288,5055234,59.22517764
11,0.00177734,0.00177892,84258,150,84183,4706612,55.85984861,,0.00120241,0.00120313,86222,104,86170,5253618,60.93139283,,0.00149264,0.00149376,85219,127,85156,4969947,58.31950542
12,0.00173155,0.00173305,84108,146,84035,4622429,54.95841727,,0.00113818,0.00113883,86118,98,86069,5167448,60.00414353,,0.00143839,0.00143943,85092,122,85031,4884791,57.40593858
13,0.00174337,0.00174489,83962,146,83889,4538395,54.05287851,,0.00111605,0.00111667,86020,96,85972,5081379,59.07194734,,0.00143392,0.00143495,84970,122,84909,4799760,56.48790958
14,0.00180608,0.00180771,83816,151,83740,4454506,53.14640421,,0.00113228,0.00113292,85924,97,85876,4995406,58.13738951,,0.00147385,0.00147494,84848,125,84785,4714851,55.56830727
15,0.00191209,0.00191392,83664,160,83584,4370766,52.24165999,,0.00118087,0.00118157,85827,101,85776,4909531,57.20272518,,0.00155106,0.00155226,84723,131,84657,4630066,54.64958965
16,0.00205527,0.00205738,83504,172,83419,4287181,51.34078452,,0.00125977,0.00126056,85726,108,85672,4823755,56.26976313,,0.00166121,0.00166259,84591,141,84521,4545409,53.73370934
17,0.0022337,0.0022362,83333,186,83240,4203763,50.44549136,,0.00136615,0.00136708,85618,117,85559,4738083,55.34010872,,0.00180195,0.00180357,84451,152,84375,4460888,52.82228913
18,0.0024362,0.00243917,83147,203,83045,4120523,49.55730486,,0.00149303,0.00149415,85501,128,85437,4652524,54.41513096,,0.00196414,0.00196607,84299,166,84216,4376513,51.91674163
19,0.00265896,0.0026625,82944,221,82834,4037478,48.67711051,,0.00163613,0.00163747,85373,140,85303,4567087,53.49574865,,0.00214435,0.00214665,84133,180,84043,4292297,51.01793036
20,0.00289773,0.00290194,82724,240,82604,3954644,47.80555357,,0.00179559,0.0017972,85233,153,85157,4481784,52.58259891,,0.00234072,0.00234346,83953,197,83854,4208254,50.12649155
21,0.00314581,0.00315077,82484,259,82354,3872040,46.94303153,,0.00196383,0.00196576,85080,167,84997,4396628,51.67628619,,0.00254575,0.00254899,83756,213,83650,4124400,49.24292625
22,0.00340082,0.00340662,82224,280,82084,3789686,46.08959444,,0.00213716,0.00213945,84913,181,84822,4311631,50.77698575,,0.00275709,0.0027609,83543,230,83428,4040750,48.36733068
23,0.00365557,0.00366227,81945,300,81795,3707602,45.24516667,,0.00231237,0.00231505,84732,196,84634,4226809,49.88466638,,0.00296992,0.00297434,83313,247,83189,3957323,47.49967093
24,0.00390996,0.00391762,81645,319,81485,3625807,44.40933711,,0.00248613,0.00248923,84536,210,84431,4142175,48.99912724,,0.00318234,0.00318742,83065,264,82933,3874134,46.63967272
25,0.00416317,0.00417186,81326,339,81157,3544322,43.58169588,,0.00265795,0.00266149,84326,224,84213,4057745,48.12000362,,0.0033937,0.00339947,82801,281,82660,3791201,45.78697462
26,0.00440989,0.00441964,80987,357,80809,3463165,42.76180357,,0.00282275,0.00282674,84101,237,83983,3973531,47.24691318,,0.00359876,0.00360525,82520,297,82371,3708541,44.94118941
27,0.00464932,0.00466016,80630,375,80443,3382356,41.94900052,,0.00298078,0.00298523,83864,250,83739,3889549,46.37924216,,0.00379727,0.0038045,82223,312,82067,3626169,44.1017014
28,0.00488521,0.00489718,80255,392,80059,3301914,41.14261208,,0.00313234,0.00313726,83614,262,83483,3805810,45.51640763,,0.00399115,0.00399914,81911,327,81747,3544103,43.26790113
29,0.00511413,0.00512725,79863,408,79659,3221855,40.34213642,,0.00327566,0.00328104,83352,273,83216,3722327,44.65785839,,0.00417772,0.00418647,81584,341,81413,3462356,42.43927972
30,0.00533662,0.00535091,79455,424,79243,3142196,39.54694381,,0.00341491,0.00342075,83079,284,82937,3639111,43.80298093,,0.00435931,0.00436884,81243,354,81066,3380942,41.61522662
31,0.00555573,0.00557122,79031,439,78811,3062953,38.75644288,,0.00354545,0.00355175,82795,294,82649,3556174,42.95136422,,0.00453504,0.00454536,80889,367,80705,3299877,40.79524709
32,0.00576865,0.00578535,78592,453,78365,2984142,37.97017535,,0.00367439,0.00368116,82502,303,82350,3473525,42.10240999,,0.004707,0.00471811,80522,379,80332,3219171,39.9788219
33,0.00598385,0.00600183,78138,468,77904,2905777,37.18758451,,0.00379768,0.00380491,82199,312,82042,3391175,41.25583847,,0.00487741,0.00488935,80143,391,79947,3138839,39.16552938
34,0.00619902,0.00621831,77671,481,77430,2827873,36.40844226,,0.0039247,0.00393242,81887,321,81726,3309133,40.41120737,,0.00504956,0.00506236,79752,403,79550,3058892,38.3550435
35,0.00641952,0.00644021,77189,496,76941,2750443,35.63243101,,0.00405087,0.0040591,81565,330,81400,3227407,39.56846529,,0.00522385,0.00523755,79349,415,79142,2979341,37.54716722
