"","year","edad","SxH","SxM"
"108",1996,108,0.485933394990633,0.490216009713999
"109",1997,109,0.448014854932469,0.451183707258236
"110",1998,110,0.655931684869188,0.660481613642782
"111",1999,1,0.920302727967073,0.932559934157405
"112",2000,2,0.952236768099789,0.955973522701456
"113",2001,3,0.982968909830239,0.983160608673044
"114",2002,4,0.990565152806089,0.991190791860641
"115",2003,5,0.993548200837423,0.994340331146736
"116",2004,6,0.994969223006571,0.996029811309995
"117",2005,7,0.996000584364152,0.997142232534856
"118",2006,8,0.996825353592387,0.997768479909745
"119",2007,9,0.997368949704173,0.998185521576153
"120",2008,10,0.997730646545776,0.998471051208845
"121",2009,11,0.9979658583189,0.998667688456344
"122",2010,12,0.998106331256916,0.998800075909057
"123",2011,13,0.998170877941617,0.998882382885318
"124",2012,14,0.998171118544311,0.998922742374848
"125",2013,15,0.998114935273449,0.998926115714781
"126",2014,16,0.998009177402815,0.998896336869471
"127",2015,17,0.997860086728028,0.99883698789297
"128",2016,18,0.997673554290045,0.998751309784169
"129",2017,19,0.997456318926203,0.998642482939934
"130",2018,20,0.997214438148818,0.998513821517062
"131",2019,21,0.996953758106714,0.998368260259859
"132",2020,22,0.996679857593292,0.998209259265144
"133",2021,23,0.996397326498657,0.998040113191401
"134",2022,24,0.996110780806346,0.997864753814743
"135",2023,25,0.995823795043669,0.997686427805763
"136",2024,26,0.995539454883908,0.997508088668386
"137",2025,27,0.995259978881268,0.997333428098993
"138",2026,28,0.994987270903092,0.997164935093473
"139",2027,29,0.994722612133948,0.997004005058795
"140",2028,30,0.994466515445417,0.996851720093043
"141",2029,31,0.994219683229236,0.996708224135186
"142",2030,32,0.993981189836454,0.996572895465178
"143",2031,33,0.993750380161928,0.99644440985393
"144",2032,34,0.993526174049851,0.996320771540529
"145",2033,35,0.993306422451917,0.996199476724065
"146",2034,36,0.99308883175065,0.996078282032186
"147",2035,37,0.992871179785113,0.995954626951703
"148",2036,38,0.992650863062443,0.99582562758611
"149",2037,39,0.992424433313713,0.995688570494895
"150",2038,40,0.992188535088805,0.995541180862292
"151",2039,41,0.991940049241875,0.995381444131774
"152",2040,42,0.991675751045512,0.995206363271968
"153",2041,43,0.991391803262418,0.995013871169324
"154",2042,44,0.991084493571279,0.994802059603623
"155",2043,45,0.990750527151009,0.994567598979266
"156",2044,46,0.9903867403637,0.99430949200428
"157",2045,47,0.98999002340025,0.994025198609286
"158",2046,48,0.989555962892879,0.99370994486776
"159",2047,49,0.989081346282645,0.993362966646927
"160",2048,50,0.988563412982216,0.992982816183809
"161",2049,51,0.987998106186016,0.992564389820209
"162",2050,52,0.987382674848504,0.992105010148891
"163",1970,53,0.986712990412248,0.991602339957175
"164",1971,54,0.985984796015043,0.991052157444492
"165",1972,55,0.985193973394757,0.99045071484916
"166",1973,56,0.98433763341328,0.989794346339918
"167",1974,57,0.983410566039521,0.989078864254228
"168",1975,58,0.982407586541767,0.988298599030481
"169",1976,59,0.981325381309915,0.987449212694845
"170",1977,60,0.980158736638681,0.986526143179615
"171",1978,61,0.978901586926173,0.985522203066618
"172",1979,62,0.977547047114002,0.984431629412112
"173",1980,63,0.976091188653965,0.983249099716548
"174",1981,64,0.974527519507419,0.981965505306696
"175",1982,65,0.972848250037451,0.980574335494133
"176",1983,66,0.971047368759326,0.979068595654963
"177",1984,67,0.969117160763279,0.977438506565351
"178",1985,68,0.967048319256991,0.975674289599553
"179",1986,69,0.964833801877316,0.973767012890779
"180",1987,70,0.962465873008261,0.97170630644524
"181",1988,71,0.959933112504548,0.969481087457416
"182",1989,72,0.957225945735004,0.967080413884623
"183",1990,73,0.954336648724849,0.964490146857933
"184",1991,74,0.95125265663822,0.961695417278349
"185",1992,75,0.947961722568345,0.958683551918246
"186",1993,76,0.944453473628105,0.955441462351614
"187",1994,77,0.940714190601324,0.95195268173334
"188",1995,78,0.936727669692052,0.948203069307581
"189",1996,79,0.932470026774299,0.944185560593953
"190",1997,80,0.927926655408351,0.939884782312599
"191",1998,81,0.923094755837188,0.935274889988792
"192",1999,82,0.917960502471044,0.930339937623298
"193",2000,83,0.912505444317838,0.925064732620472
"194",2001,84,0.906713322649291,0.919419483338436
"195",2002,85,0.900569559068886,0.913384884626975
"196",2003,86,0.893985757884487,0.906886085352591
"197",2004,87,0.886847914511029,0.899817005958089
"198",2005,88,0.879107103889431,0.892125780367754
"199",2006,89,0.870710330199123,0.883756193100142
"200",2007,90,0.86160030274745,0.874647465069828
"201",2008,91,0.851715246713023,0.864734060400655
"202",2009,92,0.840988757587292,0.853945548755427
"203",2010,93,0.829349689473942,0.842206526704438
"204",2011,94,0.816722129080615,0.829436619742988
"205",2012,95,0.803025461288442,0.815550599476566
"206",2013,96,0.788174545155142,0.800458636193152
"207",2014,97,0.772080049176143,0.784066723147545
"208",2015,98,0.754648963726167,0.766277304462466
"209",2016,99,0.735785331470325,0.746990161255541
"210",2017,100,0.715391244999934,0.726103578859264
"211",2018,101,0.69336814150507,0.70351584761519
"212",2019,102,0.669618430606634,0.679127136928307
"213",2020,103,0.644047511575898,0.652841767888248
"214",2021,104,0.616566187642806,0.624570906020938
"215",2022,105,0.587093492816934,0.594235678012403
"216",2023,106,0.555559929014724,0.561770692551768
"217",2024,107,0.521911080405986,0.52712789707869
"218",2025,108,0.486111527320226,0.490280696799339
"219",2026,109,0.44814896905238,0.451228181519722
"220",2027,110,0.656128238622015,0.660539175565436
"221",2028,1,0.930322743466811,0.941353485816201
"222",2029,2,0.959549292324171,0.962961512025458
"223",2030,3,0.986697726235941,0.986908388239931
"224",2031,4,0.992599610659003,0.993083069333752
"225",2032,5,0.994893797400894,0.995503789277379
"226",2033,6,0.99599540485384,0.996809532054958
"227",2034,7,0.996793343825432,0.997673115734376
"228",2035,8,0.997413893193665,0.998160519481249
"229",2036,9,0.997823441472063,0.998486577064092
"230",2037,10,0.998094860288784,0.998709596626484
"231",2038,11,0.998267979813461,0.998861700613153
"232",2039,12,0.998365104691678,0.998961570216252
"233",2040,13,0.998399121260645,0.99902012347847
"234",2041,14,0.998378045022012,0.999043914512396
"235",2042,15,0.99830758316482,0.999037140146781
"236",2043,16,0.998193150103874,0.999003102062098
"237",2044,17,0.998040069873764,0.998944970925214
"238",2045,18,0.997853694588048,0.998865635562116
"239",2046,19,0.997640224901145,0.998767990548432
"240",2047,20,0.99740545377506,0.99865508179066
"241",2048,21,0.997155039767654,0.998529516590468
"242",2049,22,0.996894344102448,0.998394218217522
"243",2050,23,0.996627811399858,0.998251856824855
"244",1970,24,0.996359777845929,0.998105465813563
"245",1971,25,0.996093539800078,0.997957317081399
"246",1972,26,0.995831836349181,0.997809323439139
"247",1973,27,0.995576505831779,0.99766398996342
"248",1974,28,0.995328973155714,0.997522731669995
"249",1975,29,0.995090039869483,0.997386207849882
"250",1976,30,0.994859767979838,0.997254950491856
"251",1977,31,0.994638276790454,0.997128757729558
