sexo,edad,year,Valor
Hombres,3,2018,0.978412388
Hombres,4,2018,0.978049354
Hombres,5,2018,0.979081535
Hombres,6,2018,0.980369934
Hombres,7,2018,0.982316685
Hombres,8,2018,0.984216499
Hombres,9,2018,0.985402455
Hombres,10,2018,0.985981119
Hombres,11,2018,0.988382642
Hombres,12,2018,0.984582443
Hombres,13,2018,0.973364343
Hombres,14,2018,0.95783088
Hombres,15,2018,0.942685322
Hombres,16,2018,0.925891599
Hombres,17,2018,0.91383774
Hombres,18,2018,0.91100699
Hombres,19,2018,0.915624325
Hombres,20,2018,0.920626451
Hombres,21,2018,0.927418866
Hombres,22,2018,0.935053842
Hombres,23,2018,0.941550639
Hombres,24,2018,0.947196551
Hombres,25,2018,0.955051871
Hombres,26,2018,0.965156458
Hombres,27,2018,0.973802333
Hombres,28,2018,0.979531065
Hombres,29,2018,0.981957279
Hombres,30,2018,0.984725015
Hombres,31,2018,0.986915869
Hombres,32,2018,0.988249461
Hombres,33,2018,0.98973912
Hombres,34,2018,0.991139014
Hombres,35,2018,0.991701639
Hombres,36,2018,0.991361323
Hombres,37,2018,0.991870247
Hombres,38,2018,0.992799893
Hombres,39,2018,0.994134269
Hombres,40,2018,0.995129615
Hombres,41,2018,0.996111474
Hombres,42,2018,0.996685365
Hombres,43,2018,0.996546239
Hombres,44,2018,0.996504306
Hombres,45,2018,0.996257977
Hombres,46,2018,0.995961761
Hombres,47,2018,0.995948044
Hombres,48,2018,0.996076177
Hombres,49,2018,0.996221556
Hombres,50,2018,0.996341003
Hombres,51,2018,0.996528996
Hombres,52,2018,0.996660656
Hombres,53,2018,0.996759579
Hombres,54,2018,0.997193717
Hombres,55,2018,0.997492306
Hombres,56,2018,0.997663594
Hombres,57,2018,0.997690426
Hombres,58,2018,0.997700864
Hombres,59,2018,0.997898173
Hombres,60,2018,0.998021917
Hombres,61,2018,0
Hombres,62,2018,0
Hombres,63,2018,0
Hombres,64,2018,0
Hombres,65,2018,0
Hombres,66,2018,0
Hombres,67,2018,0
Hombres,68,2018,0
Hombres,69,2018,0
Hombres,70,2018,0
Hombres,71,2018,0
Hombres,72,2018,0
Hombres,73,2018,0
Hombres,74,2018,0
Hombres,75,2018,0
Hombres,76,2018,0
Hombres,77,2018,0
Hombres,78,2018,0
Hombres,79,2018,0
Hombres,80,2018,0
Hombres,81,2018,0
Hombres,82,2018,0
Hombres,83,2018,0
Hombres,84,2018,0
Hombres,85,2018,0
Hombres,86,2018,0
Hombres,87,2018,0
Hombres,88,2018,0
Hombres,89,2018,0
Hombres,90,2018,0
Hombres,91,2018,0
Hombres,92,2018,0
Hombres,93,2018,0
Hombres,94,2018,0
Hombres,95,2018,0
Hombres,96,2018,0
Hombres,97,2018,0
Hombres,98,2018,0
Hombres,99,2018,0
Hombres,100,2018,0
Hombres,101,2018,0
Hombres,102,2018,0
Hombres,103,2018,0
Hombres,104,2018,0
Hombres,105,2018,0
Hombres,106,2018,0
Hombres,107,2018,0
Hombres,108,2018,0
Hombres,109,2018,0
Hombres,0,2019,0.996478296
Hombres,1,2019,0.987696713
Hombres,2,2019,0.982667296
Hombres,3,2019,0.980402419
Hombres,4,2019,0.979825849
Hombres,5,2019,0.980516878
Hombres,6,2019,0.981416346
Hombres,7,2019,0.983031787
Hombres,8,2019,0.984697901
