Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,27,164,175,186,197,208,219,235,250,265,280,296,316,336,357,377,397,487,577,666,756,845,943,1040,1137,1234,1331,1518,1704,1891,2077,2263,2273,2282,2291,2301,2310,2099,1888,1678,1467,1257
Hombres,28,133,142,150,159,168,176,189,201,213,226,238,255,272,289,306,324,399,473,548,623,698,783,868,953,1038,1123,1293,1463,1632,1802,1971,1997,2022,2048,2073,2098,1915,1732,1549,1366,1183
Hombres,29,115,122,129,137,144,152,162,173,183,194,204,219,234,249,264,279,345,411,477,543,609,687,764,842,920,998,1155,1312,1469,1626,1783,1815,1848,1881,1913,1946,1779,1613,1447,1281,1114
Hombres,30,99,105,112,118,124,131,140,148,157,166,175,188,201,213,226,239,297,356,414,472,530,598,667,735,804,872,1014,1155,1297,1438,1580,1619,1658,1697,1736,1775,1628,1481,1333,1186,1039
Hombres,31,87,93,98,104,110,115,123,130,137,145,152,163,175,186,197,208,261,313,365,417,469,527,586,644,703,761,886,1010,1134,1259,1383,1426,1470,1513,1557,1600,1472,1344,1215,1087,958
Hombres,32,77,82,87,92,97,102,108,114,121,127,133,143,152,162,172,182,229,275,322,368,415,465,515,565,615,666,775,884,993,1102,1211,1257,1304,1351,1397,1444,1332,1221,1109,998,886
Hombres,33,66,71,75,79,83,87,92,97,103,108,113,121,130,138,146,155,195,236,276,317,358,401,445,489,533,577,673,770,866,963,1060,1109,1159,1209,1259,1309,1212,1116,1020,923,827
Hombres,34,55,59,62,66,69,72,77,81,85,89,94,101,108,115,122,129,163,198,232,267,301,341,380,419,458,497,583,669,756,842,928,981,1033,1086,1138,1191,1108,1025,943,860,777
Hombres,35,48,51,54,57,60,63,66,70,74,77,81,87,93,99,105,111,141,171,201,231,261,296,331,366,401,436,512,588,665,741,817,870,923,977,1030,1083,1012,941,870,798,727
Hombres,36,44,46,49,52,54,57,60,63,67,70,73,78,83,89,94,99,126,153,180,207,234,265,297,328,360,391,458,524,591,658,724,777,829,881,934,986,925,863,802,741,679
Hombres,37,40,42,44,47,49,52,55,57,60,63,66,71,75,80,84,88,113,137,161,185,209,238,266,294,323,351,410,468,527,585,644,695,746,797,847,898,846,793,741,689,636
Hombres,38,35,37,40,42,44,46,48,51,54,56,59,62,66,70,74,78,99,121,142,164,185,211,236,261,287,312,364,416,467,519,571,621,670,720,770,819,775,731,686,642,597
Hombres,39,31,33,35,36,38,40,42,44,47,49,51,54,58,61,64,68,86,105,124,143,162,185,207,230,252,275,321,368,414,460,507,555,603,652,700,748,711,674,637,600,563
Hombres,40,28,29,31,33,34,36,38,40,42,44,45,48,51,54,57,60,77,94,111,128,145,165,186,206,226,246,288,329,371,412,454,500,547,593,639,685,654,624,593,562,531
Hombres,41,26,27,29,30,31,33,35,36,38,40,42,44,47,50,52,55,71,86,101,117,132,151,169,188,206,225,262,300,337,374,412,455,499,543,587,630,604,579,553,527,502
Hombres,42,24,25,26,28,29,30,32,34,35,37,38,41,43,46,48,51,65,79,93,107,121,138,155,171,188,205,239,273,306,340,373,415,456,498,539,580,559,538,516,495,474
Hombres,43,21,23,24,25,26,28,29,31,32,33,35,37,39,41,44,46,59,71,84,97,110,125,140,155,171,186,216,246,276,306,336,376,415,455,495,534,517,499,482,464,447
Hombres,44,19,21,22,23,24,25,26,28,29,30,32,33,35,37,39,41,53,64,76,88,99,113,127,140,154,168,194,221,248,274,301,339,377,415,454,492,478,463,449,435,420
Hombres,45,18,19,20,21,22,23,24,25,27,28,29,31,32,34,36,38,48,59,70,80,91,103,116,128,141,153,177,200,224,248,272,308,345,381,418,455,443,431,420,408,396
Hombres,46,16,17,18,20,21,22,23,24,25,26,27,29,30,32,33,35,45,55,65,75,85,96,107,118,130,141,162,183,205,226,247,282,317,352,387,422,413,403,393,384,374
Hombres,47,15,16,17,18,19,20,21,22,23,24,25,26,28,29,31,32,42,51,60,69,79,89,99,109,120,130,149,168,187,206,225,258,292,325,358,391,383,376,368,360,352
Hombres,48,14,15,16,17,18,18,19,20,21,22,23,24,26,27,28,30,38,47,56,64,73,82,91,101,110,120,136,153,170,187,204,235,267,298,329,360,355,349,343,337,332
