year,edad,S.x..
2016,0,0.993417692
2016,1,0.998161866
2016,2,0.998946395
2016,3,0.999307173
2016,4,0.99874153
2016,5,0.996636388
2016,6,0.999910938
2016,7,0.999837908
2016,8,0.999718266
2016,9,0.999717147
2016,10,0.999397329
2016,11,0.998818919
2016,12,0.999866356
2016,13,0.999767625
2016,14,0.999647693
2016,15,0.999556345
2016,16,0.99922519
2016,17,0.99875131
2016,18,0.999697495
2016,19,0.999558983
2016,20,0.999444431
2016,21,0.999249203
2016,22,0.9986141
2016,23,0.999754218
2016,24,0.999632175
2016,25,0.999430609
2016,26,0.999361211
2016,27,0.998963146
2016,28,0.997643788
2016,29,0.999709169
2016,30,0.99951859
2016,31,0.999200753
2016,32,0.999077502
2016,33,0.998320845
2016,34,0.99645553
2016,35,0.999499478
2016,36,0.999179155
2016,37,0.998732806
2016,38,0.998548475
2016,39,0.997351201
2016,40,0.995370883
2016,41,0.998986335
2016,42,0.99846313
2016,43,0.997930441
2016,44,0.997404625
2016,45,0.995799992
2016,46,0.99389748
2016,47,0.997965039
2016,48,0.997147549
2016,49,0.996569013
2016,50,0.995566179
2016,51,0.993155888
2016,52,0.997098755
2016,53,0.99610052
2016,54,0.994841574
2016,55,0.994080833
2016,56,0.992366483
2016,57,0.988973333
2016,58,0.994397018
2016,59,0.992800999
2016,60,0.990855561
2016,61,0.989796301
2016,62,0.986525929
2016,63,0.982409867
2016,64,0.989575859
2016,65,0.987038813
2016,66,0.984352829
2016,67,0.982289289
2016,68,0.97709912
2016,69,0.972584213
2016,70,0.981077682
2016,71,0.977093708
2016,72,0.973435168
2016,73,0.969486971
2016,74,0.962360451
2016,75,0.97170964
2016,76,0.966329533
2016,77,0.960232079
2016,78,0.955505321
2016,79,0.948540565
2016,80,0.937763559
2016,81,0.949503662
2016,82,0.941369331
2016,83,0.932456419
2016,84,0.9260084
2016,85,0.914976153
2016,86,0.90079038
2016,87,0.911843583
2016,88,0.899877005
2016,89,0.886970272
2016,90,0.87657642
2016,91,0.859975952
2016,92,0.842337107
2016,93,0.847312407
2016,94,0.829528726
2016,95,0.811259247
2016,96,0.79317469
2016,97,0.770344753
2016,98,0.746990161
2016,99,0.739153958
2016,100,0.713023621
2016,101,0.686502072
2016,102,0.65792975
2016,103,0.626270645
2016,104,0.602830375
2016,105,0.567601545
2016,106,0.530730755
2016,107,0.492830797
2016,108,0.452440358
