a¤o,edad,valor
2024,2,0.045703569
2024,3,0.06793058
2024,4,0.091232637
2024,5,0.112656342
2024,6,0.129763537
2024,7,0.141105817
2024,8,0.146300861
2024,9,0.145825552
2024,10,0.140690869
2024,11,0.132127934
2024,12,0.121352287
2024,13,0.109421746
2024,14,0.097173814
2024,15,0.085218159
2024,16,0.073960678
2024,17,0.06364137
2024,18,0.054374606
2024,19,0.046185564
2024,20,0.039040242
2024,21,0.032868552
2024,22,0.027581167
2024,23,0.023081199
2024,24,0.019271879
2024,25,0.016061278
2024,26,0.013364948
2024,27,0.011107133
2024,28,0.009221046
2024,29,0.00764859
2024,30,0.006339734
2024,31,0.005251743
2024,32,0.004348338
2024,33,0.003598882
2024,34,0.002977603
2024,35,0.002462897
2024,36,0.002036698
2025,1,0.049510196
2025,2,0.045274698
2025,3,0.067293136
2025,4,0.090376533
2025,5,0.111599203
2025,6,0.128545869
2025,7,0.139781715
2025,8,0.144928011
2025,9,0.144457162
2025,10,0.139370661
2025,11,0.130888079
2025,12,0.120213547
2025,13,0.108394959
2025,14,0.09626196
2025,15,0.084418494
2025,16,0.073266649
2025,17,0.063044176
2025,18,0.053864368
2025,19,0.045752171
2025,20,0.038673898
2025,21,0.032560122
2025,22,0.027322352
2025,23,0.022864611
2025,24,0.019091036
2025,25,0.015910563
2025,26,0.013239535
2025,27,0.011002906
2025,28,0.009134518
2025,29,0.007576817
2025,30,0.006280244
2025,31,0.005202462
2025,32,0.004307534
2025,33,0.003565111
2025,34,0.002949662
2025,35,0.002439786
2025,36,0.002017586
2026,1,0.049055748
2026,2,0.044859127
2026,3,0.066675461
2026,4,0.089546977
2026,5,0.110574847
2026,6,0.127365962
2026,7,0.138498676
2026,8,0.143597734
2026,9,0.143131207
2026,10,0.138091395
2026,11,0.129686673
2026,12,0.119110122
2026,13,0.107400015
2026,14,0.095378383
2026,15,0.083643627
2026,16,0.072594143
2026,17,0.062465501
2026,18,0.053369954
2026,19,0.045332217
2026,20,0.038318915
2026,21,0.032261256
2026,22,0.027071564
2026,23,0.02265474
2026,24,0.018915802
2026,25,0.015764522
2026,26,0.013118011
2026,27,0.010901912
2026,28,0.009050673
2026,29,0.007507271
2026,30,0.006222598
2026,31,0.005154709
2026,32,0.004267996
2026,33,0.003532387
2026,34,0.002922587
2026,35,0.002417391
2026,36,0.001999067
2027,1,0.048615335
2027,2,0.044456391
2027,3,0.066076862
2027,4,0.088743043
2027,5,0.109582129
2027,6,0.126222496
2027,7,0.137255263
2027,8,0.142308543
2027,9,0.141846205
2027,10,0.136851638
2027,11,0.128522372
2027,12,0.118040775
2027,13,0.1064358
2027,14,0.094522095
2027,15,0.082892691
2027,16,0.071942408
2027,17,0.061904698
2027,18,0.052890809
2027,19,0.044925234
2027,20,0.037974896
2027,21,0.031971621
2027,22,0.026828521
2027,23,0.02245135
2027,24,0.01874598
2027,25,0.015622991
2027,26,0.01300024
2027,27,0.010804037
2027,28,0.008969418
2027,29,0.007439872
2027,30,0.006166733
2027,31,0.005108431
2027,32,0.004229679
2027,33,0.003500674
2027,34,0.002896349
2027,35,0.002395688
2027,36,0.00198112
2028,1,0.048188467
2028,2,0.044066041
2028,3,0.065496673
2028,4,0.087963833
2028,5,0.108619941
2028,6,0.125114197
2028,7,0.136050091
2028,8,0.141059
2028,9,0.140600722
2028,10,0.13565001
2028,11,0.12739388
2028,12,0.117004316
2028,13,0.105501238
2028,14,0.093692142
2028,15,0.08216485
2028,16,0.071310717
2028,17,0.061361143
2028,18,0.052426401
2028,19,0.044530767
2028,20,0.037641457
2028,21,0.031690894
2028,22,0.026592953
2028,23,0.022254216
2028,24,0.01858138
2028,25,0.015485813
2028,26,0.012886091
2028,27,0.010709172
2028,28,0.008890662
2028,29,0.007374546
2028,30,0.006112586
2028,31,0.005063577
2028,32,0.00419254
2028,33,0.003469936
2028,34,0.002870918
2028,35,0.002374653
2028,36,0.001963724
2029,1,0.047774671
2029,2,0.043687644
2029,3,0.064934251
2029,4,0.087208484
2029,5,0.107687217
2029,6,0.124039837
2029,7,0.134881823
2029,8,0.139847721
2029,9,0.139393378
2029,10,0.134485178
2029,11,0.126299943
2029,12,0.115999596
2029,13,0.104595295
2029,14,0.092887604
2029,15,0.081459298
2029,16,0.070698369
2029,17,0.060834232
2029,18,0.051976213
2029,19,0.04414838
2029,20,0.037318228
2029,21,0.031418763
2029,22,0.026364598
2029,23,0.022063118
2029,24,0.018421821
2029,25,0.015352836
2029,26,0.012775438
2029,27,0.010617211
2029,28,0.008814318
2029,29,0.00731122
2029,30,0.006060097
2029,31,0.005020095
2029,32,0.004156539
2029,33,0.00344014
2029,34,0.002846265
2029,35,0.002354262
2029,36,0.001946862
2030,1,0.04737349
2030,2,0.043320783
2030,3,0.064388975
2030,4,0.086476164
2030,5,0.106782929
2030,6,0.12299823
2030,7,0.133749173
2030,8,0.13867337
2030,9,0.138222842
2030,10,0.133355858
2030,11,0.125239358
2030,12,0.115025506
2030,13,0.103716971
2030,14,0.092107594
2030,15,0.080775255
2030,16,0.070104689
2030,17,0.060323386
2030,18,0.05153975
2030,19,0.04377765
2030,20,0.037004854
2030,21,0.031154928
2030,22,0.026143205
2030,23,0.021877846
2030,24,0.018267127
2030,25,0.015223912
2030,26,0.012668158
2030,27,0.010528055
2030,28,0.008740301
2030,29,0.007249825
2030,30,0.006009208
2030,31,0.00497794
2030,32,0.004121635
2030,33,0.003411252
2030,34,0.002822364
2030,35,0.002334492
2030,36,0.001930513
2031,1,0.046984485
2031,2,0.042965057
2031,3,0.063860247
2031,4,0.085766068
2031,5,0.105906086
2031,6,0.121988235
2031,7,0.132650897
2031,8,0.13753466
2031,9,0.137087831
2031,10,0.132260812
2031,11,0.12421096
2031,12,0.114080979
2031,13,0.102865304
2031,14,0.091351256
2031,15,0.080111972
2031,16,0.069529027
2031,17,0.059828043
2031,18,0.051116534
2031,19,0.043418171
2031,20,0.03670099
2031,21,0.030899101
2031,22,0.025928531
2031,23,0.021698197
2031,24,0.018117127
2031,25,0.015098902
2031,26,0.012564134
2031,27,0.010441604
2031,28,0.00866853
2031,29,0.007190294
2031,30,0.005959864
2031,31,0.004937064
2031,32,0.00408779
2031,33,0.00338324
2031,34,0.002799188
2031,35,0.002315322
2031,36,0.001914661
2032,1,0.046607231
2032,2,0.042620076
2032,3,0.063347493
2032,4,0.085077425
2032,5,0.105055731
2032,6,0.121008752
2032,7,0.1315858
2032,8,0.136430349
2032,9,0.135987108
2032,10,0.131198847
2032,11,0.12321363
2032,12,0.113164985
2032,13,0.102039365
2032,14,0.090617767
2032,15,0.079468727
2032,16,0.068970756
2032,17,0.059347664
2032,18,0.050706102
2032,19,0.043069553
2032,20,0.036406306
2032,21,0.030651002
2032,22,0.025720342
2032,23,0.021523975
2032,24,0.017971659
2032,25,0.014977668
2032,26,0.012463252
2032,27,0.010357765
2032,28,0.008598928
2032,29,0.007132561
2032,30,0.00591201
2032,31,0.004897422
2032,32,0.004054968
2032,33,0.003356075
2032,34,0.002776712
2032,35,0.002296732
2032,36,0.001899288
2033,1,0.046241321
2033,2,0.042285469
2033,3,0.062850156
2033,4,0.084409487
2033,5,0.104230946
2033,6,0.120058721
2033,7,0.130552728
2033,8,0.135359244
2033,9,0.134919482
2033,10,0.130168814
2033,11,0.122246288
2033,12,0.112276534
2033,13,0.10123826
2033,14,0.089906333
2033,15,0.078844824
2033,16,0.068429271
2033,17,0.058881729
2033,18,0.050308012
2033,19,0.042731417
2033,20,0.036120482
2033,21,0.030410363
2033,22,0.025518414
2033,23,0.021354992
2033,24,0.017830564
2033,25,0.014860079
2033,26,0.012365404
2033,27,0.010276447
2033,28,0.008531418
2033,29,0.007076563
2033,30,0.005865595
2033,31,0.004858973
2033,32,0.004023133
2033,33,0.003329727
2033,34,0.002754913
2033,35,0.0022787
2033,36,0.001884376
2034,1,0.045886361
2034,2,0.041960875
2034,3,0.062367702
2034,4,0.083761539
2034,5,0.103430843
2034,6,0.119137119
2034,7,0.129550572
2034,8,0.134320191
2034,9,0.133883806
2034,10,0.129169605
2034,11,0.121307894
2034,12,0.111414671
2034,13,0.10046113
2034,14,0.089216189
2034,15,0.078239591
2034,16,0.067903991
2034,17,0.058429738
2034,18,0.049921835
2034,19,0.042403399
2034,20,0.035843212
2034,21,0.030176925
2034,22,0.025322528
2034,23,0.021191065
2034,24,0.017693692
2034,25,0.014746009
2034,26,0.012270484
2034,27,0.010197562
2034,28,0.008465929
2034,29,0.007022242
2034,30,0.00582057
2034,31,0.004821674
2034,32,0.00399225
2034,33,0.003304167
2034,34,0.002733765
2034,35,0.002261209
2034,36,0.001869912
2035,1,0.045541972
2035,2,0.041645948
2035,3,0.061899616
2035,4,0.083132887
2035,5,0.102654568
2035,6,0.118242965
2035,7,0.128578262
2035,8,0.133312084
2035,9,0.132878974
2035,10,0.128200154
2035,11,0.120397447
2035,12,0.110578476
2035,13,0.099707143
2035,14,0.088546599
2035,15,0.077652382
2035,16,0.067394354
2035,17,0.057991208
2035,18,0.049547159
2035,19,0.042085151
2035,20,0.0355742
2035,21,0.02995044
2035,22,0.025132476
2035,23,0.021032021
2035,24,0.017560897
2035,25,0.014635337
2035,26,0.012178391
2035,27,0.010121027
2035,28,0.00840239
2035,29,0.006969538
2035,30,0.005776885
2035,31,0.004785487
2035,32,0.003962287
2035,33,0.003279368
2035,34,0.002713248
2035,35,0.002244238
2035,36,0.001855877
2036,1,0.045207789
2036,2,0.041340354
2036,3,0.061445403
2036,4,0.082522866
2036,5,0.101901299
2036,6,0.11737531
2036,7,0.127634768
2036,8,0.132333854
2036,9,0.131903921
2036,10,0.127259434
2036,11,0.119513983
2036,12,0.109767062
2036,13,0.098975502
2036,14,0.087896853
2036,15,0.077082577
2036,16,0.066899821
2036,17,0.057565674
2036,18,0.049183587
2036,19,0.041776335
2036,20,0.03531316
2036,21,0.029730667
2036,22,0.024948056
2036,23,0.02087769
2036,24,0.017432037
2036,25,0.014527944
2036,26,0.012089027
2036,27,0.01004676
2036,28,0.008340734
2036,29,0.006918396
2036,30,0.005734494
2036,31,0.004750371
2036,32,0.003933212
2036,33,0.003255305
2036,34,0.002693338
2036,35,0.00222777
2036,36,0.001842259
2037,1,0.044883462
2037,2,0.041043772
2037,3,0.061004585
2037,4,0.081930835
2037,5,0.101170244
2037,6,0.116533242
2037,7,0.126719098
2037,8,0.131384471
2037,9,0.130957624
2037,10,0.126346456
2037,11,0.118656573
2037,12,0.108979577
2037,13,0.098265438
2037,14,0.087266268
2037,15,0.076529576
2037,16,0.066419872
2037,17,0.05715269
2037,18,0.048830737
2037,19,0.041476625
2037,20,0.035059818
2037,21,0.029517375
2037,22,0.024769075
2037,23,0.020727911
2037,24,0.017306977
2037,25,0.014423719
